,mean_abs_shap
Lymph nodes examined positive,0.2744060618319687
Tumor Size(mm),0.1418287846157057
Nottingham prognostic index,0.08734680741481854
Age at Diagnosis,0.07331345893515477
Pam50 + Claudin-low subtype_LumB,0.049594918262999936
Pam50 + Claudin-low subtype_LumA,0.03326007168529848
Mutation Count,0.029001655400713127
G-Neoplasm Histologic Grade,0.021978679885883066
HER2 Status_Negative,0.01644320621038498
HER2 Status_Positive,0.015163367060865234
Cellularity,0.008310347853218415
Hormone Therapy_Yes,0.007656528189369452
Hormone Therapy_No,0.0064860191608874865
Pam50 + Claudin-low subtype_Her2,0.005381566342779336
Pam50 + Claudin-low subtype_claudin-low,0.0049335088413247664
Radio Therapy_No,0.0028518730736413053
Tumor Other Histologic Subtype_Mixed,0.0027490523218810206
Radio Therapy_Yes,0.0022703886394794762
Tumor Other Histologic Subtype_Ductal/NST,0.002118115116837798
Chemotherapy_Yes,0.0013880013083810818
